"fecha";"Run Fondo";"id_serie";"periodo";"rent"
2023-02-15;8011;B;"3M";0.02534780552011482752800000000000000000000000000000
2023-02-15;8011;B;"6M";0.04980294521794956953800000000000000000000000000000
2023-02-15;8011;B;"1Y";0.08974424163796836601800000000000000000000000000000
2023-02-15;8011;B;YTD;0.01329674043981841532000000000000000000000000000000
2023-02-16;8011;B;"1M";0.00839217738865624190000000000000000000000000000000
2023-02-16;8011;B;"3M";0.02533814991845815882700000000000000000000000000000
2023-02-16;8011;B;"6M";0.04987119585448821692700000000000000000000000000000
2023-02-16;8011;B;"1Y";0.08985032525084427700700000000000000000000000000000
2023-02-16;8011;B;YTD;0.01357379714516119595000000000000000000000000000000
2023-02-17;8011;B;"1M";0.00842055460988818709000000000000000000000000000000
2023-02-17;8011;B;"3M";0.02535836993220053900500000000000000000000000000000
